Оригинал	Утверждено	Фаргус	Изменено	Примечание	Пример файла
Fullen Woolspinner	Фуллен Вулспиннер (н/у)	(-)	не утв.	полурослик	(-)
Fuller	(н/у)	Фуллер	не утв.	гуманоид, анимация=мужчина-боец	fuller.CRE
Furnelaine	(н/у)	Фэнелэйн	не утв.	гуманоид, (надо посмотреть в БГ1)	FURNEL.CRE
Furret	(н/у)	Фаррет	не утв.	гуманоид, анимация=мужчина-полурослик-вор	halftr.CRE
G'axir	(н/у)	Г'Аксир	не утв.	гуманоид, анимация=эльф-клерик	gaxir.CRE
G'axir the Seer	(н/у)	Г'аксир Провидец	не утв.	гуманоид, анимация=эльф-клерик	gaxir.CRE
Gaal	(н/у)	Гаал	не утв.	гуманоид, анимация=мужчина-клерик	csgaal.CRE
Gaelan Bayle	(н/у)	Гаелан Бэйли	не утв.	гуманоид, анимация=мужчина-вор	gaelan.CRE
Gaius	(н/у)	Гаиус	не утв.	гуманоид, анимация=эльф-маг	gaius.CRE
Galesic Caith	Галесик Кейт (н/у)	(-)	не утв.	внук Велейка Кейта	(-)
Galia	Галия (н/у)	(-)	не утв.	бывшая жена Сернда	(-)
Galileus	(н/у)	Галилеус	не утв.	гуманоид, анимация=монах	galile.CRE
Galken	Галкен (н/у)	(-)	не утв.	(-)	(-)
Galkin	(н/у)	Галкин	не утв.	гуманоид, анимация=крестьянин	galken.CRE
Gallchobhair	(н/у)	Галлчобхейр	не утв.	гуманоид, анимация=эльф-боец	gall.CRE
Gallor	(н/у)	Галлор	не утв.	гуманоид, анимация=мужчина-боец	gallor.CRE
Galoomp the Bookkeeper	(н/у)	Галумп, смотритель библиотеки	не утв.	гуманоид, анимация=STATIC_FAT_MAN - 468	shop8.CRE
Galtok	(н/у)	Галток	не утв.	гуманоид, анимация=мужчина-дварф-маг	galtok.CRE
Galvarey	(н/у)	Гальварей	не утв.	гуманоид, анимация=мужчина-боец	jagalvar.CRE
Galvena	(н/у)	Гальвена	не утв.	гуманоид, анимация=женщина-боец	pirmur01.CRE
Gamesman	(н/у)	Игрок	не утв.	гуманоид, анимация=мужчина-вор	games.CRE
Gandolar Luckyfoot	(н/у)	Гандолар Счастливая Нога	не утв.	гуманоид, анимация=мужчина-полурослик-боец	gandol.CRE
Gantolandan	(н/у)	Гантоландан	не утв.	гуманоид, анимация=мпящий мужчина	gantol1.CRE
Gantolandon	(н/у)	Гантоландон	не утв.	гуманоид, анимация=мужчина-боец	gantol.CRE
Gar Glittergold	Гарл Глиттерголд (н/у)	(-)	не утв.	(-)	(-)
Garan	(н/у)	Гаран	не утв.	гуманоид, анимация=THIEF_MALE_HUMAN_LOW - 21248	garan.CRE
Garclax	(н/у)	Гарклакс	не утв.	гуманоид, анимация=гнолл	garkla.CRE
Gardener	(н/у)	Садовник	не утв.	гуманоид, анимация=крестьянин	garden.CRE
Gardush	Гардуш	Гардаш	да	гуманоид, анимация=мужчина-боец	gardus.CRE
Garock	(н/у)	Гарок	не утв.	гуманоид-гигант, анимация=IC_MINOTAUR - 57456	garock.CRE
Garoll	(н/у)	Гаролл	не утв.	гуманоид, анимация=STATIC_PEASANT_MAN_CHAIR - 1664	drunk1.CRE
Garrar the Powerful	Гаррар Могущественный (н/у)	(-)	не утв.	обладатель Ремня от затупления (Крушитель холмов)	(-)
Garren Windspear	(н/у)	Гаррен Виндспиар	не утв.	гуманоид, анимация=мужчина-боец	garren.CRE
Garrick	(н/у)	Гаррик	не утв.	гуманоид, анимация=мужчина-вор	garric.CRE
Garrik	Гаррик	(-)	да	NPC из БГ1, человек, бард	(-)
Garuk	(н/у)	Гарук	не утв.	гуманоид, анимация=мужчина-дварф-клерик8	excult1.CRE
Gas Spore	(н/у)	Частица газа	не утв.	монстр, анимация=BEHOLDER_SMALL - 32533	behgas01.CRE
Gaseous Form	(н/у)	Газообразная форма	не утв.	монстр, анимация=BLOB_MIST_CREATURE - 32569	bodmist1.CRE
Gatekeeper	(н/у)	Стражник	не утв.	гуманоид, анимация=мужчина-боец	ambush01.CRE
Gatewarden	(н/у)	Гейтварден	не утв.	гуманоид, анимация=мужчина-боец	gatewa.CRE
Gauth	(н/у)	Гаут	не утв.	монстр, анимация=BEHOLDER_SMALL - 32533	bazgau01.CRE
Gavid	(н/у)	Гавид	не утв.	гуманоид, анимация=толстяк	chalsp01.CRE
Gaylan Bael	(н/у)	Гаелан Бэйли	не утв.	гуманоид, анимация=мужчина-вор	gaylan.CRE
Gellal	(н/у)	Джеллал	не утв.	Нежить, анимация=вампир	bodvam02.CRE
Gellana Mirrorshade	(н/у)	Геллана Миррошейд	не утв.	гуманоид, анимация=женщина-дварф-клерик	gellan.CRE
Geltik	(н/у)	Гелтик	не утв.	гуманоид, анимация=хобгоблин	geltik.CRE
General Sovalidaas	(н/у)	Генерал Совалидаас	не утв.	гуманоид, анимация=эльф-боец	c6gener.CRE
Genie	джинн	Джинн	нет	гуманоид-гигант, анимация=DJINNI - 32517	genie01.CRE
Genthore	(н/у)	Гентор	не утв.	гуманоид, анимация=мужчина-боец	gentho.CRE
Gerard Travenhurst	(н/у)	Герард Травенхерст	не утв.	гуманоид, анимация=дворянин	nobl10.CRE
Gerde	(н/у)	Герда	не утв.	гуманоид, анимация=женщина-боец	gerde.CRE
Gereth	(н/у)	Герет	не утв.	гуманоид, анимация=мужчина-маг	gereth.CRE
Gerg	(н/у)	Герг	не утв.	гуманоид, анимация=хобгоблин	firamb02.CRE
Gervisse	(н/у)	Джервисс	не утв.	гуманоид, анимация=эльф-маг	gervis.CRE
Ghast	(н/у)	Вурдалак	не утв.	Нежить, анимация=GHAST - 3466	bhghoul2.CRE
Ghaundaur Priest	(н/у)	Жрец Гонадора	не утв.	гуманоид, анимация=эльфийка-клерик	daghaun2.CRE
Ghaundaur Priest Leader	(н/у)	Главный Жрец Гонадора	не утв.	гуманоид, анимация=эльфийка-клерик	daghaun1.CRE
Ghorak	(н/у)	Горак	не утв.	гуманоид, анимация=зомби	ghorak.CRE
Ghost	(н/у)	Призрак	не утв.	гуманоид, анимация=мужчина-маг	daitel.CRE
Ghost Knight	(н/у)	Рыцарь-призрак	не утв.	гуманоид, анимация=мужчина-боец	bgknigh1.CRE
Ghostly Apparation	(н/у)	Призрачное Видение	не утв.	гуманоид, анимация=женщина-боец	shugho01.CRE
Ghostly Apparition	(н/у)	Призрачное Видение	не утв.	гуманоид, анимация=женщина-боец	shugho01.CRE
Ghoul	(н/у)	Упырь	не утв.	Нежить, анимация=GHOUL - 3464	bhghoul1.CRE
Ghoul Lord	(н/у)	Лорд-Упырь	не утв.	Нежить, анимация=GHOUL - 3464	gholor01.CRE
Giant Lynx	(н/у)	Гигантская Рысь	не утв.	животное, анимация=GREATCAT_LEOPARD - 32523	catlyn01.CRE
Giant Snake	(н/у)	Огромная Змея	не утв.	животное, анимация=змея	gorsnake.CRE
Giant Spider	(н/у)	Гигантский паук	не утв.	монстр, анимация=SPIDER_GIANT - 31232	spidgi.CRE
Giant Troll	(н/у)	Гигантский Тролль	не утв.	гуманоид-гигант, анимация=троль	chaltrol.CRE
Gibberling	(н/у)	Гибберлинг	не утв.	гуманоид, анимация=гибберлинг	bgigibb.CRE
Giblan	Гиблан (н/у)	(-)	не утв.	(-)	(-)
Gijjal of the House Malario	(н/у)	Гиджаль из Дома Маларио	не утв.	гуманоид, анимация=мужчина-маг	clgijj01.CRE
Giltham	Гилтам (н/у)	(-)	не утв.	призрак архивариуса а Башне наблюдателя	(-)
Ginia	(н/у)	Джиния	не утв.	гуманоид, анимация=SIRINE - 8192	kslave02.CRE
Giran	(н/у)	Джиран	не утв.	гуманоид, анимация=мальчик	boy1.CRE
Girl	(н/у)	Девочка	не утв.	гуманоид, анимация=девочка	amgirl01.CRE
Giron	Гайрон (н/у)	(-)	не утв.	(-)	(-)
Gish	(н/у)	Гиш	не утв.	гуманоид, анимация=гитьянки	gith04.CRE
Githyanki	(н/у)	Гитианки	не утв.	гуманоид, анимация=гитьянки	dagith2.CRE
Githyanki Captain	(н/у)	Капитан Гитьянки	не утв.	гуманоид, анимация=гитьянки	dagith1.CRE
Glabrezu	(н/у)	Глабрезу	не утв.	монстр, анимация=танарри	demgla01.CRE
Gladiator	(н/у)	Гладиатор	не утв.	гуманоид, анимация=мужчина-боец	copamb01.CRE
Glaicas	(н/у)	Глайкус	не утв.	гуманоид, анимация=мужчина-боец	kpglai01.CRE
Glaicus	Глайкус	(-)	да	телохранитель отца Налии	(-)
Glandig	Гландиг	(-)	да	(-)	(-)
Glanmarie	(н/у)	Гланмари	не утв.	гуманоид, анимация=толстушка	glanma.CRE
Glayde	(н/у)	Глаид	не утв.	гуманоид, анимация=мужчина-вор	mersil2.CRE
Glinden	(н/у)	Глинден	не утв.	гуманоид, анимация=дворянин	clglin01.CRE
Globe Machine	(н/у)	Шаровая Машина	не утв.	монстр, анимация=птица	fsglob.CRE
Glowing Pool	(н/у)	Светящийся бассейн	не утв.	предметы (general item), анимация=STATIC_HUMANCLERIC_MAN_CHAIR - 16896	sewsw.CRE
Glut	(н/у)	Глут	не утв.	гуманоид, анимация=глиняный голем	ceglut.CRE
Gnarl	(н/у)	Гнарл	не утв.	гуманоид, анимация=огриллион	gnarl.CRE
Gnoll	(н/у)	Гнолл	не утв.	гуманоид, анимация=гнолл	aegnoll.CRE
Gnoll Captain	(н/у)	Вожак гноллов	не утв.	гуманоид, анимация=гнолл	chevil05.CRE
Gnoll Chieftan	(н/у)	Вождь Гноллов	не утв.	гуманоид, анимация=гнолл	gnoll_c.CRE
Gnoll Elite	(н/у)	Элита Гноллов	не утв.	гуманоид, анимация=гнолл	gnleli01.CRE
Gnoll Slasher	(н/у)	Гнолл резчик	не утв.	гуманоид, анимация=гнолл	gnlsla01.CRE
Gnoll Veteran	(н/у)	Гнолл-Ветеран	не утв.	гуманоид, анимация=гнолл	gnlvet01.CRE
Goblin	(н/у)	Гоблин	не утв.	гуманоид, анимация=IC_GOBLIN_AXE - 58368	fsgobl.CRE
Goblin Captain	(н/у)	Капитан Гоблинов	не утв.	гуманоид, анимация=IC_GOBLINELITE_AXE - 584	icgob04.CRE
Goblin Commando	(н/у)	Гоблин-диверсант	не утв.	гуманоид, анимация=IC_GOBLIN_BOW - 58384	elehob01.CRE
Goddess of Cold Fury	Богиня Холодной Ярости	(-)	да	богиня, см. Ауриль	(-)
Gofus	(н/у)	Гофус	не утв.	гуманоид, анимация=мужчина-вор	c6gofus.CRE
Goldander Blackenrock	(н/у)	Голдандер Блакенрок	не утв.	гуманоид, анимация=мужчина-дварф-вор	udsvir03.CRE
Golden Skull	(н/у)	Золотой Череп	не утв.	гуманоид, анимация=мужчина-маг	hlskull.CRE
Golem	(н/у)	Голем	не утв.	гуманоид-гигант, анимация=глиняный голем	arngol01.CRE
